question_no,question,A,B,C,D,E
14,What is the main application of the General Electric F414 turbofan engine?,The F414 engine is used in space shuttles to provide propulsion for takeoff and landing.,The F414 engine is used in military fighter jets to produce thrust for propulsion.,The F414 engine is used in large cargo ships to generate energy for onboard operations.,The F414 engine is used in submarines to power the propulsion systems.,The F414 engine is used in commercial airliners to generate electricity for onboard systems.
15,What is the observation height of the Eckkopf Tower?,1975 meters above sea level,25 meters above sea level,541 meters above ground level,541 meters below sea level,541 meters above sea level
16,What is one of Giorgi Ovashvili's notable works?,13 Tzameti (2005),Man Push Cart (2005),Son of Saul (2015),The Past (2013),The Other Bank (2009)
17,"Which record label released Basia Bulat's album ""Are You in Love?""?",RCA Records,Interscope Records,Secret City Records,Atlantic Records,Sony Music Entertainment
18,In which museum is the painting Portrait of a Young Man by Paolo Uccello currently located?,"The British Museum, London","The Rijksmuseum, Amsterdam","The Metropolitan Museum of Art, New York","The Louvre Museum, Paris","The Indianapolis Museum of Art, Indiana"
19,When was the book William and the Masked Ranger first published?,1950,1982,1975,1990,1966
20,In which events did Konrad Sebastian Winkler compete at the 1924 Summer Olympics?,Individual sabre and team foil,Individual foil and team sabre,Individual epee and team sabre,Individual sabre and team epee,Individual foil and team epee
21,What is one of the highlights of the Leer Lutheran Church as mentioned in the provided Wikipedia excerpt?,The location of the church near a river.,An altar painting by Sarah Kirkeberg Raugland.,The existence of a bell tower.,The presence of a cafÃ© within the church.,The modern architectural design of the church.
22,What is the current population status of the Nubian ibex species?,"The wild population is estimated at 2,000 mature individuals, and it is classified as near threatened.","The wild population is estimated at 10,000 mature individuals, and it is classified as endangered.","The wild population is difficult to estimate accurately, and it is considered extinct in the wild.","The wild population is estimated at 4,500 mature individuals, and it is classified as vulnerable.","The wild population is estimated at 4,500 mature individuals, and it is classified as critically endangered."
23,What is the plot of the opera Le prophÃ¨te based on?,"The plot of Le prophÃ¨te is based on the life of Voltaire, the author of the Essay on the Manners and Spirit of Nations, on which the libretto is partly based.",The plot of Le prophÃ¨te is based on a fictional story about a love triangle between three characters living in 19th century France.,"The plot of Le prophÃ¨te is based on the life of John of Leiden, Anabaptist leader and self-proclaimed ""King of MÃ¼nster"" in the 16th century.","The plot of Le prophÃ¨te is based on the life of Giacomo Meyerbeer, the composer of the opera, and his personal struggles as a musician.","The plot of Le prophÃ¨te is based on the French Revolution, with the main character being a revolutionary leader fighting for freedom and equality."
24,What is The Patron Saint of Butterflies about?,The Patron Saint of Butterflies is a self-help guide on raising butterflies in a garden.,The Patron Saint of Butterflies is a young-adult novel about the struggles of two sisters living in a religious commune.,The Patron Saint of Butterflies is a historical fiction novel set during World War II.,The Patron Saint of Butterflies is a science fiction book exploring space travel and extraterrestrial life.,The Patron Saint of Butterflies is a coming-of-age story about a teenager dealing with mental illness.
25,What was the purpose of developing the Liberty L-6 aircraft engine during World War I?,The Liberty L-6 engine was developed to power aircraft during World War I.,The Liberty L-6 engine was developed to power aircraft carriers during World War I.,The Liberty L-6 engine was developed to power submarines during World War I.,The Liberty L-6 engine was developed to power fighter jets during World War I.,The Liberty L-6 engine was developed to power tanks during World War I.
26,"What is the primary genre of music featured on the album ""So Fresh: The Hits of Winter 2002""?",Pop,Rock,Hip hop,Classical,Country
27,"What position did ""Crackerbox Palace"" reach on the American pop charts?","""Crackerbox Palace"" reached number 1 in the American pop charts.","""Crackerbox Palace"" reached number 10 in the American pop charts.","""Crackerbox Palace"" reached number 19 in the American pop charts.","""Crackerbox Palace"" did not chart in the American pop charts.","""Crackerbox Palace"" reached number 40 in the American pop charts."
28,What was the size ratio between the US soldiers and the Chiricahua Apache during the Geronimo Campaign?,The US soldiers outnumbered the Chiricahua Apache by a ratio of 1:100,The US soldiers outnumbered the Chiricahua Apache by a ratio of 1:5,The US soldiers and the Chiricahua Apache had an equal number.,The US soldiers outnumbered the Chiricahua Apache by a ratio of 1:2,The US soldiers outnumbered the Chiricahua Apache by a ratio of 1:20
29,What is Albert Tulloch's position and duration of his professional football career?,"Albert Tulloch played as a central defender, and had a successful professional career spanning over two decades.","Albert Tulloch played as a midfielder, and had a brief professional career before retiring.","Albert Tulloch was a full-back, and spent his entire ten-year professional career at Blackpool.","Albert Tulloch was a goalkeeper, and played for Blackpool his entire professional career.","Albert Tulloch was a striker, and played for multiple clubs during his professional career."
30,"Who directed the 1973 West German comedy romance film ""Old Barge, Young Love""?",Peter Millowitsch,Werner Jacobs,None of the above,Barbara Nielsen,Roy Black
31,"Which of the following statements accurately describes the production details of the song ""Take Me Over"" by Peking Duk featuring SAFIA?","The song was produced by Adam Hyde and Reuben Styles of Peking Duk. It was released on 10 October 2014 by Vicious Recordings as the second single from the duoâ€™s debut EP, Songs to Sweat To.","The song was produced by SAFIA and released on 10 October 2014 as the second single from Peking Duk's debut EP, Songs to Sweat To.","The song was produced by Adam Hyde and Reuben Styles of Peking Duk. It was released on 10 October 2014 as the second single from the duoâ€™s debut EP, Songs to Sweat To.","The song was produced by Adam Hyde and Reuben Styles of Peking Duk. It was released on 27 September 2014 by Vicious Recordings as the second single from the duoâ€™s debut EP, Songs to Sweat To.","The song was produced by Alex from SAFIA and released on 10 October 2014 as the second single from Peking Duk's debut EP, Songs to Sweat To."
32,How long did the Meitetsu 1380 series operate in Japan?,3 years,13 years,2 years,10 years,8 years
33,"What is the population of the municipality of Cea, located in the province of LeÃ³n, Castile and LeÃ³n, Spain, according to the 2010 census (INE)?","2,500 inhabitants.",530 inhabitants.,"1,200 inhabitants.","2,000 inhabitants.",900 inhabitants.
34,What is the key structural motif of starch?,Maltose is the key structural motif of starch.,Amylose is the key structural motif of starch.,Sucrose is the key structural motif of starch.,Glucose is the key structural motif of starch.,Isomaltose is the key structural motif of starch.
35,Who is John H. Kerr Dam named after?,John D. Rockefeller,John Adams,John F. Kennedy,John H. Kerr,John C. Calhoun
36,What is the distance in miles of the New Jersey Turnpike's mainline from its southern terminus to Exit 10?,1951 miles,117.20 miles,188.62 miles,22 months,It is not specified in the provided information.
37,What is the term used to describe the proportionality factor to the Stefan-Boltzmann law that is utilized in subsequent evaluations of the radiative behavior of grey bodies?,Emissivity,Reflectance,Black-body radiation,Wien's displacement law,Albedo
38,Which family does Turritella torulosa belong to?,Buccinidae,Mactridae,Turritellidae,Vermetidae,Amathinidae
39,"What is the significance of recording ""Happiness"" by Matthew Ryan in his own home?","Recording ""Happiness"" in his own home allowed Matthew Ryan to have complete creative control over the album.","Recording ""Happiness"" in his own home provided Matthew Ryan with a tranquil and comfortable environment to create the album.","Recording ""Happiness"" in his own home was a cost-effective method for Matthew Ryan to produce the album.","Recording ""Happiness"" in his own home resulted in a unique sound quality that distinguishes the album from others.","Recording ""Happiness"" in his own home allowed Matthew Ryan to experiment with unconventional recording techniques."
40,What was the purpose of the Ferrari 410 S sports racing car?,The Ferrari 410 S was a prototype model that never competed in any racing events.,The Ferrari 410 S was built as a long-distance race car specifically for the 1955 Carrera Panamericana.,The Ferrari 410 S was a street-legal sports car designed for everyday use.,The Ferrari 410 S was designed as a high-speed racing car specifically for short-distance races such as the 1954 Carrera Panamericana.,The Ferrari 410 S was a model used solely for promotional purposes and was never intended for racing.
41,What is Triamcinolone aminobenzal benzamidoisobutyrate?,Triamcinolone aminobenzal benzamidoisobutyrate is a natural glucocorticoid corticosteroid used to reduce inflammation and suppress the immune system.,Triamcinolone aminobenzal benzamidoisobutyrate is a natural glucocorticoid corticosteroid used to treat allergic reactions.,Triamcinolone aminobenzal benzamidoisobutyrate is a synthetic glucocorticoid corticosteroid used to reduce inflammation and suppress the immune system.,Triamcinolone aminobenzal benzamidoisobutyrate is a synthetic mineralocorticoid corticosteroid used to treat adrenal insufficiency.,Triamcinolone aminobenzal benzamidoisobutyrate is a synthetic glucocorticoid corticosteroid used to treat asthma.
42,What is Klementyna Suchanow known for?,"Klementyna Suchanow is recognized as a prominent activist, dedicating her efforts to the advancement of women's rights and playing a pivotal role in the founding of the women's rights movement All-Poland Women's Strike.","Klementyna Suchanow is renowned as a masterful editor, having worked with numerous publishing houses to refine and enhance literary works across various genres.","Klementyna Suchanow is an acclaimed painter, with her artwork exhibited in prestigious galleries and museums worldwide.","Klementyna Suchanow is celebrated for her groundbreaking research in the field of quantum physics, revolutionizing our understanding of the fundamental laws of the universe.","Klementyna Suchanow is best known for her work as a Polish author in the genre of science fiction, gaining recognition for her thought-provoking novels that explore societal issues."
43,What was George Bemis most known for in his career?,His work in the field of legal scholarship and academic publications.,His efforts in exposing corruption within the legal profession and fighting for ethical standards.,His involvement in high-profile cases and groundbreaking legal rulings.,His contributions to the field of criminal law and justice system reform.,His expertise in international law and advocacy for global legal cooperation.
44,What were Triton motorcycles?,Triton motorcycles were hybrid motor cycles built from the 1950s to the 1970s that involved fitting Triumph engines into Norton frames.,"Triton motorcycles were factory-built motorcycles that combined the best elements of Triumph and Norton, resulting in a superior bike.",Triton motorcycles were off-road motorcycles that were privately constructed using components from various brands.,Triton motorcycles were motorcycles that were named after a mythological Greek God and were known for their distinctive design.,Triton motorcycles were British motorcycles that were exclusively available for purchase through UK dealerships.
45,Which of the following is true about the genus Platynectes?,Platynectes is a genus of mammals in the family Dytiscidae.,Platynectes is a genus of beetles in the family Dytiscidae.,Platynectes is a genus of birds in the family Dytiscidae.,Platynectes is a genus of plants in the family Dytiscidae.,Platynectes is a genus of reptiles in the family Dytiscidae.
46,"What is the typical color of Anthurium watermaliense, commonly known as the black anthurium or black prince?","Its spathes are a mix of purple and green, giving it a unique and distinctive appearance.","Its spathes can vary in color, ranging from dark purple to nearly black.","Its spathes are white, creating a striking contrast against its deep purple leaves.","Its spathes are a vibrant shade of red, contrasting with its dark green foliage.","Its spathes are black in color, hence the name ""black anthurium"" or ""black prince."""
47,"Which of the following statements accurately categorizes the monarchs, a family of passerine birds, based on their species composition?",The monarchs primarily consist of shrikebills but may occasionally include a few specimens of paradise flycatchers or magpie-larks.,"The monarchs are exclusively composed of shrikebills, paradise flycatchers, and magpie-larks, with each species represented equally.","The monarchs are a small group of passerine birds comprising only shrikebills, paradise flycatchers, and magpie-larks, with very few other species.","The monarchs are mainly composed of shrikebills, with paradise flycatchers and magpie-larks being only occasional members of the family.","The monarchs consist of over 100 species of passerine birds, including shrikebills, paradise flycatchers, and magpie-larks, among others."
48,Which of the following statements accurately describes the plot of the children's novel Vampirates: Demons of the Ocean by Justin Somper?,Vampirates: Demons of the Ocean follows the journey of two siblings who discover a hidden treasure map and embark on a dangerous adventure.,Vampirates: Demons of the Ocean is a tale about two children who learn to sail and become pirates on the high seas.,Vampirates: Demons of the Ocean is a story about two young siblings who become stranded on an island and must find a way back home.,"Vampirates: Demons of the Ocean is a novel that tells the story of two young siblings who are separated at sea and end up on different ships, one with pirates and the other with vampiric creatures.",Vampirates: Demons of the Ocean is a fictional book about two siblings who fall in love with mythical creatures living under the ocean.
49,What is the Star Trek Ship Construction Manual?,The Star Trek Ship Construction Manual is a 1983 role-playing game supplement providing rule variations and additional gameplay mechanics for the Star Trek: The Role Playing Game.,The Star Trek Ship Construction Manual is a 1983 merchandise item consisting of blueprints and technical specifications for starships seen in the Star Trek television series and films.,The Star Trek Ship Construction Manual is a 1983 role-playing game supplement providing detailed information on the construction and design of starships in the Star Trek universe.,"The Star Trek Ship Construction Manual is a 1983 novel set in the Star Trek universe, exploring the construction and design of starships.",The Star Trek Ship Construction Manual is a 1983 reference book providing an overview of the different starship classes in the Star Trek universe.
50,What is the main purpose of the Bisi Alimi Foundation (BAF) according to the provided Wikipedia excerpt?,The BAF aims to promote the Same Sex Marriage Prohibition Act 2013 (SSMPA) and its enforcement in Nigeria.,"The BAF was established to support and protect individuals who identify as LGBTQ+ in Nigeria, particularly after the enactment of the Same Sex Marriage Prohibition Act 2013 (SSMPA).","The BAF works to protect and promote religious freedom and diversity in Nigeria, in response to the Same Sex Marriage Prohibition Act 2013 (SSMPA).",The BAF operates primarily in England and Wales to advocate for equal treatment of individuals regardless of sexual orientation or gender identity.,The BAF's primary mission is to provide legal and financial assistance to Nigerian citizens facing discrimination based on their sexual orientation.
51,What is isolichenan?,Isolichenan is a lipid extracted from lichen species that is insoluble in cold water.,Isolichenan is a protein extracted from lichen species that is insoluble in cold water.,Isolichenan is a carbohydrate extracted from lichen species that is soluble in cold water.,Isolichenan is a lipid extracted from lichen species that is soluble in cold water.,Isolichenan is a carbohydrate extracted from lichen species that is insoluble in cold water.
52,What accomplishments has Nekagenet Crippa achieved in his athletic career?,Nekagenet Crippa won a national title in the 2019 Ethiopian Athletics Championships.,Nekagenet Crippa won a national title in the 2018 Ethiopian Athletics Championships.,Nekagenet Crippa has not won any national titles in his career.,Nekagenet Crippa won a national title in the 2020 Italian Athletics Championships.,Nekagenet Crippa won a national title in the 2017 Ethiopian Athletics Championships.
53,Which of the following sell stock on an organized stock exchange such as the New York Stock Exchange?,publicly traded companies,not-for-profit businesses,governmental agencies,privately held companies,government-sponsored entities
54,What is the significance of the album Sing You Sinners by Erin McKeown?,It features exclusively original compositions by Erin McKeown.,It is Erin McKeown's debut album released in 1997.,It is Erin McKeown's third studio album released in 2006.,It is a collaboration album featuring various artists alongside Erin McKeown.,It consists of a collection of popular American standards along with one original composition.
55,What is the distance between WhangamÅmona and Ohura in New Zealand?,WhangamÅmona is 61 kilometers south-west of Ohura.,WhangamÅmona is 40 miles north-east of Ohura.,WhangamÅmona is 65 kilometers north-east of Ohura.,WhangamÅmona is 55 miles south-west of Ohura.,WhangamÅmona is 38 miles south-west of Ohura.
56,When did the Indian team officially make their debut in the Summer Olympic Games?,1912,1908,1900,1920,1904
57,"Which of the following statements accurately describes the reception of Achilles' second full-length studio album ""Hospice""?","""Hospice"" was the second full-length studio album from Achilles, released on May 8, 2007 through Hex Records, and received mostly favorable reviews.","""Hospice"" was released on an unknown date and received mostly negative reviews from critics.","""Hospice"" was released on May 8, 2007 through Hex Records and received critical acclaim, becoming the band's most popular album to date.","""Hospice"" marked a departure from Achilles' previous sound and was met with widespread disappointment from fans and critics alike.","""Hospice"" received mixed reviews upon its release and failed to make a significant impact on the music scene."
58,"Which of the following statements accurately describes the genre of the song ""Hide and Seek"" by Imogen Heap?","""Hide and Seek"" is a dance-pop song with heavy electronic beats, making it ideal for a night out at a club.","""Hide and Seek"" is an a cappella folktronica ballad, featuring Imogen Heap's voice and the harmonizer to create layers of harmony and emotion.","""Hide and Seek"" is a punk rock anthem with aggressive vocals and distorted guitars, expressing anger and rebellion.","""Hide and Seek"" is a reggae-infused pop track, characterized by catchy melodies and a laid-back rhythm.","""Hide and Seek"" is a country ballad with a twangy guitar and heartfelt lyrics about lost love."
59,"What is the focus of ""The Art of the Sucker Punch"" episode from the animated sitcom Home Movies?",The school dance competition,Shannon's preparation for the fight,The main character's love for filmmaking,A documentary about bullying,The main character's relationship with his friend Jason
60,Where is the natural habitat of Amanita protecta typically found?,The natural habitat of Amanita protecta is the arid deserts of North Africa.,The natural habitat of Amanita protecta is the alpine regions of the Himalayas.,The natural habitat of Amanita protecta is the tropical rainforests of South America.,"The natural habitat of Amanita protecta is California, growing among Quercus agrifolia and Monterey pine.","The natural habitat of Amanita protecta is found worldwide, as it can adapt to various climates and environments."
61,What is the official naval arm of the State of Ohio called?,Ohio Naval Organization (ONO),Ohio Naval Force (ONF),Ohio Naval Adjutant Militia (ONAM),Ohio Naval Defense (OND),Ohio Naval Militia (Ohio Navy)
62,Where was the album Crying Laughing Loving Lying by Labi Siffre recorded?,"Electric Lady Studios, New York.","Capitol Studios, Los Angeles.","Abbey Road Studios, London.","Sun Studio, Memphis.","Chappell Studios, London."
63,What was the result of the European tour to promote Gianna Nannini's album Puzzle?,The album Puzzle went platinum in Italy.,The album Tutto Live was released in 1985.,"The album Puzzle won the Festivalbar, Vota la Voce, and a Gold Telegatto Award.","The album Puzzle topped the charts in Italy, Switzerland, and Austria.","The music video for the first single from the album, ""Fotoromanza,"" was directed by Michelangelo Antonioni."
64,"How was Iron Mountain, Michigan named?",Iron Mountain was named after a famous iron mine that operated in the area.,Iron Mountain was named after a local Native American tribe known for their craftsmanship in iron tools.,Iron Mountain was named after the valuable iron ore discovered in the region.,Iron Mountain was named after a nearby mountain known for its high iron content.,Iron Mountain was named after a prominent figure in the iron ore industry.
65,What is Tim Kinsella primarily known for?,Filmmaking,Sculpting,Culinary arts,Poetry,Stage acting
66,"In which year was the song ""Slow It Down"" released by Amy Macdonald?",2014,2010,2012,2016,2007
67,What is the primary healthcare authority responsible for the management of Elverum Hospital in Norway?,Elverum Hospital is managed by Helse SÃ¸r-Ã˜st and the Southern and Eastern Norway Regional Health Authority.,Elverum Hospital is managed by Innlandet Hospital Trust and the Southern and Eastern Norway Regional Health Authority.,Elverum Hospital is managed by Helse Nord and the Western Norway Regional Health Authority.,Elverum Hospital is managed by Helse Vest and the Central Norway Regional Health Authority.,Elverum Hospital is managed by Innlandet Hospital Trust and the Northern Norway Regional Health Authority.
68,Where is Mimbaste located?,Mimbaste is a commune in the Landes department in Nouvelle-Aquitaine in south-western France.,Mimbaste is a commune in the Landes department in Brittany in northwestern France.,Mimbaste is a commune in the PyrÃ©nÃ©es-Atlantiques department in Nouvelle-Aquitaine in northwestern France.,Mimbaste is a commune in the Hautes-PyrÃ©nÃ©es department in Occitanie in southwestern France.,Mimbaste is a commune in the PyrÃ©nÃ©es-Atlantiques department in Occitanie in south-western France.
69,What is the primary role of the Essex-class carriers in the United States Navy?,The Essex-class carriers were primarily responsible for escorting cargo ships during World War II.,The Essex-class carriers were used exclusively for humanitarian missions and did not participate in combat.,"The Essex-class carriers were the backbone of the U.S. Navy from mid-1943 and continued to be the heart of U.S. naval strength until the introduction of supercarriers in the 1950s, 1960s, and 1970s.",The Essex-class carriers were designed for amphibious assault operations.,The Essex-class carriers were primarily used for submarine warfare during World War II.
70,What does the Queensland Heritage Register recognize Branyan Road State School for?,The Queensland Heritage Register recognizes Branyan Road State School for its location near Branyan Drive and Bundaberg.,The Queensland Heritage Register recognizes Branyan Road State School for its contribution to the development of public education in Queensland.,The Queensland Heritage Register recognizes Branyan Road State School for being the oldest state school in the Bundaberg Region.,The Queensland Heritage Register recognizes Branyan Road State School for its listing as a heritage site in Australia.,The Queensland Heritage Register recognizes Branyan Road State School for its unique architectural design and historical significance.
71,What types of body styles were available for the Saab 9000?,4-door sedan and 5-door hatchback.,2-door convertible and 4-door sedan.,4-door notchback and 3-door coupe.,2-door coupe and 5-door hatchback.,3-door hatchback and 2-door convertible.
72,Which member of the Dodge Brothers is a film critic and BBC television presenter?,None of the above,Mark Kermode,Mike Hammond,Alex Hammond,Aly Hirji
73,"What is the population of KlokoÄnÃ¡, a municipality in the Central Bohemian Region of the Czech Republic, according to the excerpt from Wikipedia?",KlokoÄnÃ¡ has about 200 inhabitants.,KlokoÄnÃ¡ has about 500 inhabitants.,KlokoÄnÃ¡ has about 100 inhabitants.,KlokoÄnÃ¡ has about 400 inhabitants.,KlokoÄnÃ¡ has about 300 inhabitants.
74,What is the common name for Senecio vulgaris?,Daisy,Tulip,Sunflower,Clover,Groundsel
75,With which instrument did LÃ©onard de HodÃ©mont gain recognition as a skillful player?,Harpsichord,Violin,Flute,Organ,Trumpet
76,How many special stages will be contested in the 2023 Rally Finland?,72 special stages covering a total competitive distance of 320.56 km (199.19 mi).,22 special stages covering a total competitive distance of 320.56 km (199.19 mi).,20 special stages covering a total competitive distance of 320.56 km (199.19 mi).,9 special stages covering a total competitive distance of 320.56 km (199.19 mi).,56 special stages covering a total competitive distance of 320.56 km (199.19 mi).
77,In what year did ÅŒnokuni Yasushi win his first tournament championship and become the 62nd yokozuna in sumo?,1991,1978,1983,1987,1999
78,What was Lady Sings the Blues (1956) autobiographical book about?,Lady Sings the Blues is a travelogue recounting Billie Holiday's experiences performing across the globe.,Lady Sings the Blues is a biography of jazz singer Billie Holiday written by a prominent music critic.,"Lady Sings the Blues is an autobiography by jazz singer Billie Holiday, detailing her personal life and struggles in the music industry.",Lady Sings the Blues is a self-help book for aspiring jazz musicians written by Billie Holiday.,Lady Sings the Blues is a fictional novel about a famous jazz singer's rise to fame and fortune.
79,"Which village is NOT part of the RÄƒchitova commune in Hunedoara County, Transylvania, Romania?",GoteÈ™ti (Gotesdtanya),Ciula Mare (Nagycsula),Ciula MicÄƒ (Kiscsula),BoiÈ›a (Boica),MesteacÄƒn (MeszkÃ¡ton)
80,"What is the significance of the album ""You're All Living in Cuckooland"" released by Budgie in 2006?","""You're All Living in Cuckooland"" is Budgie's eleventh album, released after a gap of 24 years since their previous studio album.","""You're All Living in Cuckooland"" is Budgie's eleventh and final album, marking the end of their musical career.","""You're All Living in Cuckooland"" is Budgie's first official studio album, released in November 2006.","""You're All Living in Cuckooland"" is a compilation album consisting of their greatest hits from the previous 24 years.","""You're All Living in Cuckooland"" was accompanied by a UK tour, showcasing Budgie's musical comeback after a long hiatus."
81,Who designed the Courier typeface?,None of the above,Paul Johnson,John Smith,Mary Thompson,"Howard ""Bud"" Kettler"
82,"What is the main topic of the book ""The Complete Manual of Suicide"" written by Wataru Tsurumi?",The book provides an analysis of the psychological effects of suicidal thoughts on individuals.,"The book explores the cultural factors contributing to the ""hardness of living"" in Japanese society.",The book discusses the history and development of suicide prevention strategies in Japan.,The book discusses the impact of mental health support systems on suicide rates in Japan.,The book offers a comprehensive guide on different methods of ending one's life.
83,What is the major tributary of the Thamirabarani River?,The Manimuthar River,The Periyar River,The Bharathapuzha River,The Palar River,The Vaigai River
84,What position does SÃ©kou KoÃ¯ta play for the Mali national team?,SÃ©kou KoÃ¯ta plays as a midfielder.,SÃ©kou KoÃ¯ta plays as a forward.,SÃ©kou KoÃ¯ta plays as a goalkeeper.,SÃ©kou KoÃ¯ta plays as a substitute.,SÃ©kou KoÃ¯ta plays as a defender.
85,How would you describe Bothrops jararacussu?,Bothrops jararacussu is a highly venomous pit viper species endemic to South America.,Bothrops jararacussu is a large and aggressive snake species found in Australia.,Bothrops jararacussu is a harmless snake species known for its vibrant colors.,Bothrops jararacussu is a small and docile snake species found in North America.,Bothrops jararacussu is a non-venomous snake species found in South America.
86,What design did the Subaru Forester adopt from the third generation onwards?,The Subaru Forester adopted a performance car design in its third generation.,The Subaru Forester adopted a taller station wagon design in its third generation.,The Subaru Forester did not undergo a design change in its third generation.,The Subaru Forester adopted a compact crossover SUV design in its third generation.,The Subaru Forester adopted a sedan design in its third generation.
87,What administrative region is Philippsbourg located in?,Pays de la Loire,Normandy,Occitanie,Auvergne-RhÃ´ne-Alpes,Grand Est
88,"Who is the current owner of the Davidkhanian Mansion in Qazvin, Iran?",The Davidkhanian family.,The estate is currently unowned.,The municipality of Qazvin.,The National Heritage Organization of Iran.,The Iranian government.
89,What is the distribution range of the Indian tent turtle?,"The Indian tent turtle is found in India, Australia, and Vietnam.","The Indian tent turtle is found in India, Nepal, and Bangladesh.","The Indian tent turtle is found in India, China, and Malaysia.","The Indian tent turtle is found in India, Thailand, and Sri Lanka.","The Indian tent turtle is found in India, Pakistan, and Myanmar."
90,Where is the Hopetoun Monument located?,"The Hopetoun Monument is situated on Byres Hill near Haddington, Scotland.","The Hopetoun Monument is situated on Arthur's Seat, near Edinburgh, Scotland.","The Hopetoun Monument is located in the Highlands of Scotland, near Loch Ness.","The Hopetoun Monument is located in the Trossachs National Park, near Stirling, Scotland.","The Hopetoun Monument is located in the Borders region of Scotland, near Gretna Green."
91,"What does the word ""é¬¥ç‰›"" mean in the context of the Taiwanese drama Bull Fighting?",It actually refers to street basketball.,It symbolizes a traditional form of martial arts.,It is a term used in the show to describe a type of dance.,It refers to a type of animal found in Taiwan.,It represents a popular card game played in Taiwan.
